ein,business_name,source_zip,source_entry
813216328,"SASSETTI LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349301275_public.xml"
431106809,"Ellis Bookkeeping",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349301435_public.xml"
650598811,"CAROL L SOKOLOW CPA PA",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349301455_public.xml"
262481370,"VAN CLIEF FOUNDATION",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300149349100500_public.xml"
300201426,"VICTORY COMMUNITY SERVICE INC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300149349100600_public.xml"
872450151,"BRONX TAX MAN CORP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300149349100615_public.xml"
873773475,"Thrive Accounting &amp; Tax",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300149349200015_public.xml"
832466150,"CORNERSTONE CHRISTIAN SCHOOLS",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300149349200115_public.xml"
941318213,"HRB TAX GROUP INC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202310149349200121_public.xml"
381298365,"RASMUSSEN TELLER &amp; CARON PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202330149349300108_public.xml"
813012143,"CHI 24 INC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300149349300400_public.xml"
660380848,"OJEDA CPA GROUP PSC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300149349300500_public.xml"
550694400,"DOUGLAS BICKSLER CPA",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202340159349200004_public.xml"
862647297,"CROWE LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300159349100600_public.xml"
330840092,"LIVING RUNNING WELLS OF LIFE INTERNATIONAL OUTREACH MINISTRIES",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202310169349100201_public.xml"
461617616,"Valentine Seevers and Associates PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300169349100215_public.xml"
383478253,"GREAT LAKES MANAGEMENT CONSULTANTS",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300169349100715_public.xml"
370626568,"FRATERNAL ORDER OF EAGLES",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300169349200205_public.xml"
810243731,"NILAN WATER USERS ASSOCIATION",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300169349200315_public.xml"
464617471,"MAY &amp; COMPANY LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300169349200535_public.xml"
833796163,"BLUE DEMON ATHLETICS INC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202310169349200501_public.xml"
